iter	RMSE
600	273315.1078
601	273273.81
602	273237.3083
603	273203.7071
604	273176.5127
605	273145.2313
606	273111.4382
607	273083.9391
608	273031.9468
609	273003.0187
610	272963.0298
611	272908.4682
612	272847.2203
613	272812.9699
614	272760.2317
615	272716.9385
616	272676.6634
617	272651.6843
618	272576.7824
619	272538.5753
620	272464.2588
621	272436.2543
622	272420.7681
623	272373.9767
624	272323.4297
625	272277.1556
626	272241.8979
627	272217.6801
628	272175.0071
629	272141.9918
630	272078.2267
631	272034.8907
632	272012.8707
633	271979.8072
634	271958.936
635	271927.113
636	271904.9421
637	271880.6014
638	271782.27
639	271765.8621
640	271737.1944
641	271712.6266
642	271674.3323
643	271630.5539
644	271597.9189
645	271566.8792
646	271528.5212
647	271506.5866
648	271471.2712
649	271437.9989
650	271400.4682
651	271370.825
652	271319.2749
653	271296.0134
654	271270.1104
655	271209.8079
656	271178.7761
657	271146.3029
658	271118.5069
659	271080.922
660	271060.0256
661	271010.6983
662	270964.5187
663	270930.2159
664	270832.4028
665	270792.8539
666	270744.3784
667	270723.1766
668	270684.7469
669	270641.2163
670	270619.3585
671	270604.7609
672	270581.5834
673	270550.1266
674	270514.9628
675	270480.6307
676	270458.7296
677	270445.9333
678	270362.6356
679	270348.6001
680	270303.7501
681	270263.9958
682	270207.9714
683	270179.4899
684	270147.9163
685	270114.9386
686	270080.0562
687	270047.6662
688	269985.3734
689	269959.9225
690	269873.0278
691	269831.4951
692	269812.2965
693	269774.4513
694	269753.8782
695	269711.511
696	269685.6806
697	269622.0984
698	269583.0379
699	269529.8088
700	269527.4638
701	269485.5145
702	269466.0278
703	269447.085
704	269428.5978
705	269391.4197
706	269308.7691
707	269274.1365
708	269254.8571
709	269224.5936
710	269170.7951
711	269098.079
712	269084.3708
713	269051.3612
714	268989.6594
715	268970.5807
716	268845.4468
717	268774.6566
718	268745.3228
719	268718.7355
720	268678.4303
721	268579.0298
722	268542.9811
723	268504.0219
724	268476.8533
725	268440.3474
726	268376.3289
727	268349.1777
728	268312.1716
729	268286.4251
730	268244.1592
731	268209.5675
732	268160.1474
733	268122.9708
734	268088.9284
735	268061.718
736	268042.2364
737	267981.5888
738	267916.9487
739	267832.8973
740	267814.5061
741	267777.1619
742	267753.0689
743	267714.7169
744	267691.75
745	267669.4069
746	267649.1402
747	267615.314
748	267584.7986
749	267561.5084
750	267518.1971
751	267450.6312
752	267413.1658
753	267391.4413
754	267372.8473
755	267308.3733
756	267226.2441
757	267193.9967
758	267108.1538
759	267091.6515
760	267041.0337
761	267022.0842
762	266990.9018
763	266965.7517
764	266887.4067
765	266845.9628
766	266816.315
767	266782.0192
768	266750.7588
769	266728.363
770	266711.9115
771	266677.3664
772	266645.3132
773	266610.1081
774	266581.4126
775	266569.2584
776	266543.5016
777	266497.7559
778	266414.4317
779	266392.0641
780	266371.0906
781	266348.0208
782	266323.7111
783	266276.7583
784	266213.0249
785	266161.0067
786	266140.8361
787	266105.255
788	266091.0022
789	266029.2551
790	265996.4165
791	265972.7291
792	265940.0256
793	265883.8052
794	265809.3333
795	265794.3584
796	265696.4211
797	265652.9827
798	265599.7928
799	265542.7778
800	265512.4388
801	265480.987
802	265423.3289
803	265407.0671
804	265385.9835
805	265367.3507
806	265343.4918
807	265327.1736
808	265286.4154
809	265248.9068
810	265212.153
811	265194.129
812	265169.2246
813	265134.2844
814	265099.44
815	265088.9541
816	265048.0603
817	264987.466
818	264955.4204
819	264914.6017
820	264885.5286
821	264834.7349
822	264809.3322
823	264782.2183
824	264749.2697
825	264694.965
826	264654.4506
827	264626.6426
828	264595.4435
829	264577.8286
830	264549.8636
831	264522.4364
832	264498.3711
833	264471.1858
834	264430.6511
835	264415.8068
836	264350.7367
837	264315.7885
838	264298.3609
839	264274.1834
840	264231.8078
841	264206.0146
842	264180.9958
843	264154.5593
844	264101.6305
845	264059.4172
846	264051.7062
847	264025.5737
848	264001.589
849	263961.9674
850	263897.8942
851	263861.4635
